"Progetto","Metodo","Path","File"
"TPI_evoluto","GET","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\api_key.py"
"TPI_api_staging","HEAD","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","HEAD","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","OPTIONS","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","OPTIONS","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","PATCH","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","PATCH","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","POST","/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","POST","/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","DELETE","/items/{item_id}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","DELETE","/items/{item_id}","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","GET","/items/{item_id}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_api_staging","GET","/items/{item_id}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\exceptions.py"
"TPI_evoluto","GET","/items/{item_id}","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_evoluto","GET","/items/{item_id}","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\exceptions.py"
"TPI_api_staging","PUT","/items/{item_id}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","PUT","/items/{item_id}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","PUT","/items/{item_id}","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","POST","/login","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\oauth2.py"
"TPI_api_staging","POST","/login","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\oauth2.py"
"TPI_evoluto","POST","/login","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\oauth2.py"
"TPI_evoluto","POST","/login","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\oauth2.py"
"TPI_api_staging","POST","/send-notification/{email}","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\background.py"
"TPI_evoluto","POST","/send-notification/{email}","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\background.py"
"TPI_api_staging","POST","/uploadfile/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\datastructures.py"
"TPI_evoluto","POST","/uploadfile/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\datastructures.py"
"TPI_api_staging","GET","/users/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_evoluto","GET","/users/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\applications.py"
"TPI_api_staging","GET","/users/me","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_api_staging","GET","/users/me","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_api_staging","GET","/users/me","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_evoluto","GET","/users/me","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_evoluto","GET","/users/me","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_evoluto","GET","/users/me","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\security\http.py"
"TPI_api_staging","GET","/users/me/items/","E:\CLONAZIONE\TPI_api_staging\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_evoluto","GET","/users/me/items/","E:\CLONAZIONE\tpi_evoluto\.venv\Lib\site-packages\fastapi\param_functions.py"
"TPI_evoluto","GET","/version","E:\CLONAZIONE\tpi_evoluto\app\main.py"
